Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
YPM,YPM ORN 148882,Female,Adult,2007,7,19,-149.815389,61.140089,Picoides,pubescens,24.6,4,132,-91,454,191,58,1.81979795087942,-0.910634929856541,-0.275916948713632,-0.00722896619530558,0.0193360793170213
MVZ,141235,Female,Adult,1959,4,5,-149.7722777778,61.1363333333,Picoides,pubescens,30.7,4,130,-91,473,195,61,1.79293769950439,-0.969452839357326,-0.281242589234427,0.011180983967012,0.0128764527025683
MVZ,141236,Female,Adult,1959,4,5,-149.7724722222,61.1237777778,Picoides,pubescens,27.5,4,125,-91,501,206,65,1.75722804285596,-1.08975874071667,-0.323377176702624,0.0498274457593839,0.0131214444275657
MVZ,141233,Female,Adult,1957,2,6,-149.9638888889,61.1516666667,Picoides,pubescens,29,4,135,-89,425,190,54,1.83728010113921,-0.817365510766749,-0.278613524023629,-0.0234111676820543,0.042591787561881
MVZ,141234,Female,Adult,1958,3,18,-149.7459,61.15,Picoides,pubescens,28.7,4,123,-91,505,205,66,1.76362544320391,-1.12753064677832,-0.335268210707845,0.0736577205986744,0.0073664038006188
YPM,YPM ORN 148887,Female,Unknown,2007,8,24,-149.815389,61.140089,Picoides,pubescens,30.6,4,132,-91,454,191,58,1.81979795087942,-0.910634929856541,-0.275916948713632,-0.00722896619530558,0.0193360793170213
YPM,YPM ORN 148821,Male,Adult,2007,7,15,-151,61.2167,Picoides,pubescens,28.4,4,129,-94,592,261,78,1.49173495925123,-1.19204994782238,-0.265414917033958,-0.0801916666631774,0.0757064984436322
MVZ,44747,Male,Adult,1924,6,8,-133.7,59.5667,Picoides,pubescens,27.8,4,120,-122,373,130,46,2.31620133263573,-1.12261726753156,-0.292813173581817,-0.0688077249370515,-0.0585328927039982
MVZ,39766,Female,Adult,1919,6,2,-131.1667,57.9578,Picoides,villosus,88.2,4,131,-122,401,139,49,2.18978424433074,-0.985211137191756,-0.167788683729937,-0.191615831435305,-0.0556062664856174
MVZ,39768,Female,Adult,1919,6,12,-131.1833,57.9167,Picoides,villosus,73.5,4,131,-122,401,139,49,2.18978424433074,-0.985211137191756,-0.167788683729937,-0.191615831435305,-0.0556062664856174
MVZ,39776,Female,Adult,1919,6,23,-131.1667,57.9,Picoides,villosus,82,4,142,-122,371,136,42,2.18632956170454,-0.76004935247373,-0.0996269387877803,-0.31305729479003,-0.0391736719605886
MVZ,39778,Female,Adult,1919,7,20,-131.6833,57.6,Picoides,villosus,77,4,137,-85,739,272,103,1.12407869238481,-1.22537770516843,-0.0342072451067717,-0.0628793109300329,-0.00543464041724605
