Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
CAS,85501,Unknown,Adult,1995,1,12,-122.59576,37.9466,,,Melanerpes,formicivorus,66.5
CAS,70758,Unknown,Adult,1980,6,22,-122.80032,38.04111,,,Sphyrapicus,thyroideus,27.8
MVZ,83436,Female,Unknown,1941,6,8,-122.357,44.7554,63582,,Picoides,villosus,64.8
CAS,89636,Female,Adult,2001,9,10,97.9185,27.44133,,,Sasia,ochracea,9.6
CRCM,54-168,Female,Adult,1954,7,7,-117.305544,46.287589,1500,,Melanerpes,lewis,113.5
CRCM,62-40,Female,Adult,1962,1,7,-117.411877,47.78061,2000,,Sphyrapicus,ruber,72.2
CRCM,54-189,Female,Adult,1954,7,9,-117.43684,46.135899,200,,Sphyrapicus,thyroideus,43.5
CRCM,54-215,Female,Adult,1954,7,14,-117.678523,46.250425,100,,Sphyrapicus,nuchalis,47.3
CRCM,75-338,Female,Adult,1954,7,9,-117.43684,46.135899,200,,Sphyrapicus,thyroideus,50
MSB,25543,Female,Adult,2006,9,5,-105.9350204,35.6868439,8047,,Sphyrapicus,thyroideus,50.5
MSB,26388,Female,Adult,2007,9,12,-105.9350204,35.6868439,8047,,Sphyrapicus,thyroideus,59.5
MSB,26414,Female,Adult,2007,12,9,-106.3809833333,35.0620333333,20,,Sphyrapicus,thyroideus,50.2
MSB,26411,Female,Adult,2007,9,11,-106.1917877,35.0609149,7348,,Colaptes,auratus,112.5
MSB,26702,Female,Adult,2008,1,23,-105.9801786,35.5225354,58480,,Colaptes,auratus,147
MSB,26715,Female,Adult,2008,3,17,-104.7907666667,32.0359833333,6,,Picoides,villosus,51.4
MSB,26316,Female,Adult,8888,10,6,-106.3991333333,34.6668333333,150,,Picoides,villosus,55.4
MSB,26223,Female,Adult,8888,10,3,-109.3221666667,31.9428333333,200,,Sphyrapicus,nuchalis,41.4
MSB,26647,Female,Adult,8888,10,9,-106.3655815,35.16782,5063,,Sphyrapicus,nuchalis,41.4
MSB,26623,Female,Adult,2007,9,14,-106.1184333333,40.52535,,,Picoides,villosus,62.7
UAM,15188,Female,Adult,2001,6,28,-132.8,55.55,100000,,Picoides,villosus,69.8
UAM,23754,Female,Adult,2006,4,7,-134.555,58.3449,100000,,Sphyrapicus,ruber,53
UAM,30876,Female,Adult,2012,6,1,-147.8043,64.857,100000,,Colaptes,auratus,146.9
UAM,31832,Female,Adult,2013,7,2,-152.406,57.79,100000,,Picoides,tridactylus,56
UAM,8112,Female,Adult,1998,6,8,-132.3,53.37,100000,,Sphyrapicus,ruber,55
UAM,9048,Female,Adult,1999,5,19,-147.8043,64.857,100000,,Sphyrapicus,varius,43.3
UAM,10162,Female,Adult,1999,6,18,-132.3,53.37,100000,,Sphyrapicus,ruber,55.3
UAM,13513,Female,Adult,2001,6,25,-131.619,55.331,100000,,Sphyrapicus,ruber,54.5
UAM,22084,Female,Adult,2000,7,4,-147.8043,64.857,100000,,Colaptes,auratus,121.8
UAM,27305,Female,Unknown,2009,9,26,-147.8043,64.857,100000,,Picoides,villosus,87
CAS,70219,Female,Adult,1978,1,21,-122.8308,38.39691,,,Sphyrapicus,ruber,39.8
CAS,83833,Female,Adult,1984,2,6,-122.57803,38.40256,,,Sphyrapicus,ruber,45.9
CUMV,26081,Female,Adult,1955,6,17,-98.459716,41.170793,5392,,Colaptes,auratus,141.5
CUMV,26091,Female,Adult,1955,6,16,-100.670865,42.660515,7484,,Colaptes,auratus,153
CUMV,26116,Female,Adult,1955,6,13,-100.310389,41.903358,4925,,Colaptes,auratus,140.1999969482
CUMV,26149,Female,Adult,1955,6,12,-98.385575,40.826569,7387,,Colaptes,auratus,142.8000030518
CUMV,26153,Female,Adult,1955,6,18,-102.962338,42.846422,4120,,Colaptes,auratus,129.6000061035
CUMV,26164,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,147.6999969482
CUMV,26167,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,136.6000061035
CUMV,26172,Female,Adult,1955,6,23,-103.230095,44.152712,7674,,Colaptes,auratus,140.3999938965
CUMV,26175,Female,Adult,1955,6,22,-103.231053,44.2313,17349,,Colaptes,auratus,156.3999938965
CUMV,26180,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,154.3999938965
CUMV,26232,Female,Adult,1955,7,9,-100.902042,45.272598,5746,,Colaptes,auratus,130.6000061035
CUMV,26234,Female,Adult,1955,7,9,-100.902042,45.272598,5746,,Colaptes,auratus,142.8999938965
CUMV,26236,Female,Adult,1955,7,10,-100.902042,45.272598,5746,,Colaptes,auratus,132.3999938965
CUMV,26237,Female,Adult,1955,7,11,-100.902042,45.272598,5746,,Colaptes,auratus,138.6000061035
CUMV,26280,Female,Adult,1955,7,15,-100.33744,45.651627,5762,,Colaptes,auratus,140.5
